player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
hc worst nightmare,7912.15,['Empacadores de Soriana'],22,True,8000.0,0.22
Mari Illustrious Makinami,7906.61,"['Northern Hog Suckers', 'Want Steep Sets?']",57,True,8000.0,0.57
Drewarosa,7905.34,['Dark Horse Tempest '],24,True,8000.0,0.24
Yrral,7903.77,"['Northern Hog Suckers', 'Want Steep Sets?', 'dXo-Heroic - Mantle of Midas']",77,True,8000.0,0.77
sorry,7902.82,"['WeLostThisBros', 'Love & Peace (Right Version)']",40,True,8000.0,0.4
50.Centaur Saves Gaza,7893.11,"['Spice Boys', 'WAKANDA MADE IN CHYNA', 'Cinco De Mayo']",31,True,8000.0,0.31
3row,7887.56,"['Spice Boys', 'Sunlight Covenant', 'Team Tidehunter']",57,True,8000.0,0.57
FrodoLaporte,7880.08,"['Northern Hog Suckers', 'Ape Express', 'Want Steep Sets?', 'Dark Horse']",78,True,8000.0,0.78
buffles,7871.53,"['NO WRAITHPACT', '1-800-QQ', 'dXo-Heroic - Mantle of Midas']",32,True,8000.0,0.32
SiliXx.あすか,7866.03,"['KnockKnock', 'Balerion All-Blacks', 'Northern Hog Suckers', 'Giga Obese Ovarian Navigators', 'Rektal Damage']",60,True,8000.0,0.6
Picashii,7860.47,['Dark Horse Tempest '],26,True,8000.0,0.26
Dr. EpiK,7854.57,"['WeLostThisBros', 'Love & Peace (Right Version)']",43,True,8000.0,0.43
For The Pills,7841.91,['Gucci God'],20,True,8000.0,0.2
THE BOILING FROG,7841.31,['Aogiri Tree'],31,True,8000.0,0.31
Babaganoush,7838.49,['WeLostThisBros'],30,True,8000.0,0.3
Celtic,7836.07,['Salt the Earth'],20,True,8000.0,0.2
Kr@Ken_430,7831.49,['THE Sleppers4'],27,True,8000.0,0.27
wife,7827.88,"['Spice Boys', 'New Rebellion', 'Giga Obese Ovarian Navigators', 'TEAM POLAND', 'dXo-Heroic - Mantle of Midas']",33,True,8000.0,0.33
